athlete_certification_key,person_key,club_key,certification_type_key,person_type_key,has_certificate
7080,14215,63,1,1,1
7081,14216,63,1,1,1
7082,14219,63,1,1,1
7083,14222,63,1,1,1
7084,14224,63,1,1,1
7085,14227,63,1,1,1
7086,14228,63,1,1,1
7087,14230,63,1,1,1
7088,14232,63,1,1,1
7089,14234,63,1,1,1
7090,14235,63,1,1,1
7091,14238,63,1,1,1
7092,14242,63,1,1,1
7093,14243,63,1,1,1
7094,14245,63,1,1,1
7095,14246,63,1,1,1
7096,14247,75,1,1,1
7097,14250,75,1,1,1
7098,14253,75,1,1,1
7099,14254,75,1,1,1
7100,14256,75,1,1,1
7101,14258,75,1,1,1
7102,14259,75,1,1,1
7103,14261,75,1,1,1
7104,14262,75,1,1,1
7105,14263,75,1,1,1
7106,14264,75,1,1,1
7107,14266,75,1,1,1
7108,14267,75,1,1,1
7109,14269,75,1,1,1
7110,14270,98,1,1,1
7111,14271,98,1,1,1
7112,14274,98,1,1,1
7113,14276,98,1,1,1
7114,14277,98,1,1,1
7115,14278,98,1,1,1
7116,14279,98,1,1,1
7117,14280,98,1,1,1
7118,14281,180,1,1,1
7119,14282,180,1,1,1
7120,14283,180,1,1,1
7121,14285,180,1,1,1
7122,14286,180,1,1,1
7123,14287,180,1,1,1
7124,14288,180,1,1,1
7125,14289,180,1,1,1
7126,14296,172,1,1,1
7127,14298,172,1,1,1
7128,14300,172,1,1,1
7129,14301,172,1,1,1
7130,14304,172,1,1,1
7131,14305,172,1,1,1
7132,14307,172,1,1,1
7133,14311,173,1,1,1
7134,14312,173,1,1,1
7135,14316,173,1,1,1
7136,14317,173,1,1,1
7137,14318,173,1,1,1
7138,14319,173,1,1,1
7139,14323,173,1,1,1
7140,14324,173,1,1,1
7141,14325,173,1,1,1
7142,14328,40,1,1,1
7143,14329,40,1,1,1
7144,14330,40,1,1,1
7145,14331,40,1,1,1
7146,14333,40,1,1,1
7147,14335,40,1,1,1
7148,14337,40,1,1,1
7149,14338,40,1,1,1
7150,14339,40,1,1,1
7151,14340,128,1,1,1
7152,14341,128,1,1,1
7153,14342,128,1,1,1
7154,14343,128,1,1,1
7155,14344,128,1,1,1
7156,14345,128,1,1,1
7157,14346,128,1,1,1
7158,14347,128,1,1,1
7159,14348,128,1,1,1
7160,14350,128,1,1,1
7161,14351,128,1,1,1
7162,14352,128,1,1,1
7163,14353,128,1,1,1
7164,14354,128,1,1,1
7165,14356,39,1,1,1
7166,14357,39,1,1,1
7167,14358,39,1,1,1
7168,14359,39,1,1,1
7169,14360,39,1,1,1
7170,14371,35,1,1,1
7171,14372,35,1,1,1
7172,14374,35,1,1,1
7173,14377,35,1,1,1
7174,14378,35,1,1,1
7175,14379,35,1,1,1
7176,14380,35,1,1,1
7177,14381,35,1,1,1
7178,14382,35,1,1,1
7179,14383,35,1,1,1
7180,14384,35,1,1,1
7181,14385,35,1,1,1
7182,14387,35,1,1,1
7183,14393,127,1,1,1
7184,14400,127,1,1,1
7185,14401,127,1,1,1
7186,14402,127,1,1,1
7187,14403,127,1,1,1
7188,14404,127,1,1,1
7189,14405,127,1,1,1
7190,14406,127,1,1,1
7191,14408,127,1,1,1
7192,14412,127,1,1,1
7193,14414,127,1,1,1
7194,14415,127,1,1,1
7195,14417,127,1,1,1
7196,14419,127,1,1,1
7197,14420,127,1,1,1
7198,14421,127,1,1,1
7199,14425,127,1,1,1
7200,14427,105,1,1,1
7201,14430,105,1,1,1
7202,14431,105,1,1,1
7203,14432,105,1,1,1
7204,14434,105,1,1,1
7205,14435,105,1,1,1
7206,14438,105,1,1,1
7207,14439,105,1,1,1
7208,14442,105,1,1,1
7209,14445,105,1,1,1
7210,14446,105,1,1,1
7211,14447,105,1,1,1
7212,14449,105,1,1,1
7213,14450,105,1,1,1
7214,14451,105,1,1,1
7215,14452,105,1,1,1
7216,14456,105,1,1,1
7217,14457,105,1,1,1
7218,14459,105,1,1,1
7219,14462,105,1,1,1
7220,14463,105,1,1,1
7221,14464,105,1,1,1
7222,14465,105,1,1,1
7223,14468,165,1,1,1
7224,14470,165,1,1,1
7225,14471,165,1,1,1
7226,14472,165,1,1,1
7227,14474,165,1,1,1
7228,14475,165,1,1,1
7229,14476,165,1,1,1
7230,14478,165,1,1,1
7231,14483,17,1,1,1
7232,14484,17,1,1,1
7233,14485,17,1,1,1
7234,14488,17,1,1,1
7235,14489,17,1,1,1
